Order_ID,Order_Date,Customer_ID,Category,Region,Sales,Quantity,Discount,Profit,Order_Month,Order_Weekday,Net_Sales,Profit_Margin
ORD-22,2023-10-08 19:48:35.657828,CUST-0227,Office Supplies,East,141.85,10,0.0,-51.7,2023-10,Sunday,141.85,-0.36446951004582306
ORD-23,2023-05-06 06:10:59.129564,CUST-0170,Office Supplies,West,208.37,12,0.0,101.81,2023-05,Saturday,208.37,0.48860200604693577
ORD-24,2024-07-07 06:02:20.470235,CUST-0034,Technology,West,113.19,12,0.0,43.84,2024-07,Sunday,113.19,0.3873133669052037
ORD-25,2024-06-08 18:25:01.950975,CUST-0251,Furniture,Unknown,295.11,4,0.0,67.78,2024-06,Saturday,295.11,0.22967706956727998
ORD-26,2023-10-21 23:19:39.589794,CUST-0247,Technology,South,298.45,1,0.0,16.95,2023-10,Saturday,298.45,0.05679343273580164
ORD-27,2023-05-21 14:17:13.716858,CUST-0269,Office Supplies,North,97.32,14,0.1,-76.9,2023-05,Sunday,87.588,-0.87797415171028
ORD-28,2024-03-19 16:43:27.703851,CUST-0141,Office Supplies,West,344.6,14,0.1,3.51,2024-03,Tuesday,310.14000000000004,0.011317469529889724
ORD-29,2023-12-15 17:59:05.972986,CUST-0274,Technology,South,342.83,3,0.0,85.79,2023-12,Friday,342.83,0.2502406440509874
ORD-30,2023-04-11 18:58:10.145072,CUST-0096,Office Supplies,West,137.63,13,0.0,149.62,2023-04,Tuesday,137.63,1.0871176342367217
ORD-31,2024-03-08 09:01:42.651325,CUST-0227,Furniture,North,173.16,12,0.1,46.94,2024-03,Friday,155.844,0.3011986345319679
ORD-32,2023-06-17 14:51:05.132566,CUST-0039,Office Supplies,Unknown,303.63,4,0.3,-11.18,2023-06,Saturday,212.541,-0.052601615688267205
ORD-33,2024-05-03 05:58:44.362181,CUST-0029,Technology,West,64.53,2,0.0,62.14,2024-05,Friday,64.53,0.9629629629629629
ORD-34,2023-01-08 16:03:07.293646,CUST-0245,Furniture,North,393.97,12,0.3,80.39,2023-01,Sunday,275.779,0.2915015283977388
ORD-35,2023-04-03 00:37:27.523761,CUST-0236,Furniture,South,389.83,2,0.2,37.97,2023-04,Monday,311.86400000000003,0.12175178924146421
ORD-36,2023-09-30 18:59:36.588294,CUST-0185,Furniture,South,365.59,2,0.1,34.27,2023-09,Saturday,329.031,0.1041543198057326
ORD-37,2023-11-09 14:18:40.160080,CUST-0272,Furniture,North,132.57,11,0.1,42.82,2023-11,Thursday,119.313,0.35888796694408825
ORD-38,2024-08-01 10:46:53.006503,CUST-0236,Furniture,West,369.76,1,0.0,32.61,2024-08,Thursday,369.76,0.08819234097793163
ORD-39,2023-06-23 02:19:01.770885,CUST-0239,Technology,West,168.58,10,0.1,47.87,2023-06,Friday,151.722,0.31551126402235663
ORD-40,2024-01-31 03:03:41.510755,CUST-0266,Office Supplies,East,428.12,2,0.2,139.65,2024-01,Wednesday,342.49600000000004,0.4077419882275997
ORD-41,2023-07-06 05:50:05.702851,CUST-0065,Technology,North,91.96,6,0.0,-92.0,2023-07,Thursday,91.96,-1.000434971726838
ORD-42,2024-09-14 15:16:17.888944,CUST-0177,Office Supplies,East,237.88,3,0.1,15.69,2024-09,Saturday,214.092,0.0732862507706967
ORD-43,2024-07-01 09:48:32.056028,CUST-0003,Technology,South,60.08,10,0.0,-25.94,2024-07,Monday,60.08,-0.43175765645805597
ORD-44,2023-09-13 06:18:11.345672,CUST-0142,Technology,East,120.06,5,0.2,100.85,2023-09,Wednesday,96.048,1.0499958354156254
ORD-45,2023-12-23 01:16:21.490745,CUST-0158,Office Supplies,East,109.55,1,0.1,21.55,2023-12,Saturday,98.595,0.21857092144632081
ORD-46,2024-10-21 12:28:27.253626,CUST-0146,Furniture,West,117.87,8,0.1,63.58,2024-10,Monday,106.08300000000001,0.5993420246410829
ORD-47,2023-03-11 00:28:05.642821,CUST-0293,Technology,North,96.55,13,0.0,115.64,2023-03,Saturday,96.55,1.1977213878819266
ORD-48,2023-12-16 11:30:49.524762,CUST-0153,Office Supplies,East,136.29,4,0.0,-34.86,2023-12,Saturday,136.29,-0.25577812018489987
ORD-49,2023-09-08 12:21:58.259129,CUST-0193,Furniture,West,93.84,9,0.0,-1.65,2023-09,Friday,93.84,-0.017583120204603578
ORD-50,2023-12-16 11:30:49.524762,CUST-0073,Office Supplies,West,456.97,4,0.1,109.44,2023-12,Saturday,411.273,0.26610061929667156
ORD-51,2023-07-25 05:34:58.049024,CUST-0140,Technology,East,56.44,14,0.1,-37.26,2023-07,Tuesday,50.796,-0.7335223245924876
ORD-52,2024-11-24 11:33:42.411205,CUST-0187,Technology,East,186.29,2,0.2,0.37,2024-11,Sunday,149.032,0.00248268828171131
ORD-53,2024-08-03 15:22:03.661830,CUST-0293,Technology,South,210.52,3,0.0,-66.02,2024-08,Saturday,210.52,-0.31360440813224394
ORD-54,2024-04-07 16:28:20.050025,CUST-0061,Furniture,West,100.35,5,0.2,111.8,2024-04,Sunday,80.28,1.3926258096661683
ORD-55,2023-10-31 11:12:05.762881,CUST-0198,Technology,East,190.61,12,0.0,-4.87,2023-10,Tuesday,190.61,-0.025549551440113318
ORD-56,2024-07-11 23:58:33.556778,CUST-0295,Furniture,South,457.22,10,0.1,51.07,2024-07,Thursday,411.49800000000005,0.12410752907669052
ORD-57,2024-02-26 10:05:49.374687,CUST-0011,Technology,Unknown,465.45,13,0.2,70.56,2024-02,Monday,372.36,0.1894940380277151
ORD-58,2024-07-04 16:41:18.039019,CUST-0062,Office Supplies,North,186.92,13,0.2,-18.19,2024-07,Thursday,149.536,-0.1216429488551252
ORD-59,2024-11-03 15:59:31.185592,CUST-0226,Office Supplies,West,222.04,14,0.2,-84.24,2024-11,Sunday,177.632,-0.4742388758782201
ORD-60,2023-08-24 21:47:27.223611,CUST-0153,Furniture,South,507.3,6,0.3,16.83,2023-08,Thursday,355.11,0.04739376531215679
ORD-61,2023-01-08 07:17:15.517758,CUST-0199,Furniture,South,259.63,7,0.0,15.85,2023-01,Sunday,259.63,0.06104841505218966
ORD-62,2023-11-03 18:04:51.745872,CUST-0052,Furniture,North,393.48,4,0.0,26.37,2023-11,Friday,393.48,0.06701738334858189
ORD-63,2023-03-02 14:53:14.797398,CUST-0260,Furniture,West,56.38,7,0.0,26.7,2023-03,Thursday,56.38,0.473572188719404
ORD-64,2024-04-18 15:24:13.326663,CUST-0059,Office Supplies,North,95.25,10,0.2,0.07,2024-04,Thursday,76.2,0.0009186351706036746
ORD-65,2023-05-22 07:48:57.268634,CUST-0072,Furniture,North,63.17,3,0.1,-2.25,2023-05,Monday,56.853,-0.03957574798163685
ORD-66,2023-08-08 02:37:45.532766,CUST-0148,Office Supplies,East,540.95,7,0.1,47.86,2023-08,Tuesday,486.8550000000001,0.09830442328824802
ORD-67,2023-04-26 00:46:49.404702,CUST-0063,Furniture,West,87.79,4,0.0,-19.43,2023-04,Wednesday,87.79,-0.22132361316778673
ORD-68,2023-01-05 17:56:13.086543,CUST-0243,Office Supplies,South,211.41,13,0.1,24.28,2023-01,Thursday,190.269,0.1276088064792478
ORD-69,2023-03-30 00:12:57.988994,CUST-0107,Furniture,North,249.39,13,0.0,-3.78,2023-03,Thursday,249.39,-0.015156983038614218
ORD-70,2023-10-11 09:09:38.089044,CUST-0226,Furniture,West,160.15,8,0.0,47.74,2023-10,Wednesday,160.15,0.2980955354355292
ORD-71,2024-05-14 22:26:21.190595,CUST-0218,Technology,North,68.25,9,0.0,96.51,2024-05,Tuesday,68.25,1.414065934065934
ORD-72,2023-07-25 23:06:41.600800,CUST-0241,Furniture,East,548.15,7,0.1,98.96,2023-07,Tuesday,493.335,0.20059391691244285
ORD-73,2023-11-24 13:39:02.971485,CUST-0259,Technology,West,265.55,8,0.0,107.36,2023-11,Friday,265.55,0.4042929768405197
ORD-74,2024-05-12 17:51:10.535267,CUST-0262,Technology,South,374.69,8,0.0,9.95,2024-05,Sunday,374.69,0.026555285702847684
ORD-75,2023-02-03 05:33:31.605802,CUST-0005,Office Supplies,East,188.08,2,0.0,15.0,2023-02,Friday,188.08,0.0797532964695874
ORD-76,2024-05-22 14:29:28.484242,CUST-0261,Office Supplies,East,115.73,9,0.0,-46.14,2024-05,Wednesday,115.73,-0.3986865981163052
ORD-77,2023-12-15 17:59:05.972986,CUST-0054,Office Supplies,South,497.39,6,0.3,9.45,2023-12,Friday,348.17299999999994,0.027141679567341526
ORD-78,2024-06-23 17:45:24.762381,CUST-0047,Technology,East,117.78,11,0.0,11.59,2024-06,Sunday,117.78,0.09840380370181695
ORD-79,2024-06-13 21:07:06.813406,CUST-0215,Furniture,East,175.97,4,0.0,-7.03,2024-06,Thursday,175.97,-0.03994999147581974
ORD-80,2023-07-05 12:18:22.151075,CUST-0177,Furniture,South,201.91,5,0.1,-7.31,2023-07,Wednesday,181.719,-0.040226943797841724
ORD-81,2023-10-11 00:23:46.313156,CUST-0009,Furniture,North,113.39,10,0.2,-71.86,2023-10,Wednesday,90.712,-0.7921774406914189
ORD-82,2024-12-18 22:46:31.395697,CUST-0099,Office Supplies,North,341.15,5,0.1,-50.51,2024-12,Wednesday,307.03499999999997,-0.16450893220642598
ORD-83,2023-01-13 09:59:20.380190,CUST-0020,Office Supplies,South,398.23,7,0.2,32.67,2023-01,Friday,318.58400000000006,0.10254752278833838
ORD-84,2023-03-16 20:41:54.057028,CUST-0241,Technology,East,187.54,14,0.0,34.92,2023-03,Thursday,187.54,0.18620027727418154
ORD-85,2024-02-08 03:52:40.580290,CUST-0061,Technology,North,92.32,9,0.1,58.98,2024-02,Thursday,83.088,0.7098497978047371
ORD-86,2024-12-14 22:22:01.860930,CUST-0178,Office Supplies,West,48.4,7,0.0,14.47,2024-12,Saturday,48.4,0.29896694214876035
ORD-87,2024-08-01 19:32:44.782391,CUST-0062,Office Supplies,South,168.17,9,0.0,30.7,2024-08,Thursday,168.17,0.1825533686150919
ORD-88,2024-11-23 00:30:15.307653,CUST-0145,Office Supplies,West,406.0,4,0.1,105.03,2024-11,Saturday,365.40000000000003,0.2874384236453202
ORD-89,2024-05-30 06:32:35.777888,CUST-0216,Furniture,North,160.84,10,0.1,26.83,2024-05,Thursday,144.756,0.18534637597059878
ORD-90,2024-01-10 07:29:30.285142,CUST-0003,Technology,West,425.95,14,0.0,-7.92,2024-01,Wednesday,425.95,-0.01859373165864538
ORD-91,2024-01-08 20:26:03.181590,CUST-0160,Furniture,West,623.44125,10,0.1,-41.46,2024-01,Monday,561.097125,-0.07389095069770675
ORD-92,2024-05-31 00:04:19.329664,CUST-0227,Technology,North,400.57,4,0.2,77.85,2024-05,Friday,320.456,0.24293506752877148
ORD-93,2023-07-26 07:52:33.376688,CUST-0269,Furniture,North,143.95,6,0.3,-72.2,2023-07,Wednesday,100.76499999999999,-0.7165186324616684
ORD-94,2024-02-17 06:59:14.977488,CUST-0120,Furniture,North,73.0,8,0.1,-20.31,2024-02,Saturday,65.7,-0.3091324200913242
ORD-95,2024-10-17 12:03:57.718859,CUST-0089,Technology,West,216.54,14,0.1,55.11,2024-10,Thursday,194.886,0.2827807025645762
ORD-96,2024-11-04 18:17:06.513256,CUST-0068,Furniture,West,623.44125,9,0.1,-84.39,2024-11,Monday,561.097125,-0.15040176867774896
ORD-97,2024-07-01 18:34:23.831915,CUST-0098,Technology,North,154.77,1,0.0,-6.86,2024-07,Monday,154.77,-0.04432383536861149
ORD-98,2023-09-14 08:35:46.673336,CUST-0267,Furniture,South,22.03,1,0.0,37.75,2023-09,Thursday,22.03,1.713572401270994
ORD-99,2023-05-27 10:31:02.131065,CUST-0105,Technology,North,131.44,13,0.0,7.0,2023-05,Saturday,131.44,0.053256238587948874
ORD-100,2023-09-24 05:14:04.622311,CUST-0123,Furniture,South,443.29,8,0.1,-28.96,2023-09,Sunday,398.961,-0.07258854875539213
ORD-101,2024-07-30 14:57:34.127063,CUST-0029,Office Supplies,South,484.48,11,0.1,-5.61,2024-07,Tuesday,436.03200000000004,-0.012866028181417877
ORD-102,2023-02-28 19:03:55.917958,CUST-0137,Technology,North,78.58,7,0.0,79.02,2023-02,Tuesday,78.58,1.0055993891575463
ORD-104,2024-12-24 10:14:28.034017,CUST-0226,Office Supplies,South,334.43,11,0.0,38.37,2024-12,Tuesday,334.43,0.1147325299763777
ORD-105,2023-12-30 08:33:37.008504,CUST-0170,Office Supplies,North,67.01,3,0.0,-89.3,2023-12,Saturday,67.01,-1.3326369198627068
ORD-106,2023-04-09 05:37:07.713856,CUST-0009,Furniture,South,88.42,10,0.0,64.09,2023-04,Sunday,88.42,0.7248360099524994
ORD-107,2024-11-19 17:37:29.324662,CUST-0040,Furniture,North,550.25,12,0.2,6.22,2024-11,Tuesday,440.20000000000005,0.014129940935938208
ORD-108,2023-10-25 14:58:17.348674,CUST-0025,Office Supplies,North,250.03,5,0.2,-35.73,2023-10,Wednesday,200.024,-0.17862856457225132
ORD-109,2024-04-17 13:06:37.998999,CUST-0261,Technology,East,112.24,3,0.0,-18.02,2024-04,Wednesday,112.24,-0.1605488239486814
ORD-110,2023-06-16 03:47:38.029014,CUST-0226,Furniture,West,261.91,5,0.1,-15.47,2023-06,Friday,235.71900000000002,-0.06562899045049402
ORD-111,2024-06-26 07:06:27.193596,CUST-0124,Office Supplies,South,70.42,10,0.3,-54.65,2024-06,Wednesday,49.294,-1.1086541972653874
ORD-112,2024-10-01 01:40:07.803901,CUST-0038,Technology,North,340.2,1,0.1,26.22,2024-10,Tuesday,306.18,0.08563590045071526
ORD-113,2024-04-10 14:35:14.257128,CUST-0251,Furniture,North,95.13,14,0.3,139.69,2024-04,Wednesday,66.591,2.0977309245994205
ORD-114,2024-01-07 00:36:44.302151,CUST-0176,Furniture,South,100.87,11,0.2,-35.95,2024-01,Sunday,80.69600000000001,-0.44549915733121837
ORD-115,2024-09-21 22:33:33.406703,CUST-0090,Office Supplies,North,568.4,4,0.1,137.84,2024-09,Saturday,511.56,0.26945030885917587
ORD-116,2023-04-18 17:29:33.886943,CUST-0037,Furniture,West,341.95,6,0.1,42.49,2023-04,Tuesday,307.755,0.13806436938473787
ORD-117,2024-09-30 08:08:24.252126,CUST-0176,Office Supplies,North,55.95,2,0.2,24.43,2024-09,Monday,44.760000000000005,0.5457998212689901
ORD-118,2023-09-20 13:35:26.863431,CUST-0284,Office Supplies,North,308.26,13,0.1,10.68,2023-09,Wednesday,277.434,0.038495642206795126
ORD-119,2024-10-09 02:29:06.873436,CUST-0081,Office Supplies,East,43.27,7,0.0,-18.37,2024-10,Wednesday,43.27,-0.4245435636699792
ORD-120,2023-05-04 01:35:48.474237,CUST-0114,Furniture,West,405.84,8,0.0,47.51,2023-05,Thursday,405.84,0.11706583875418884
ORD-121,2023-11-17 15:07:39.229614,CUST-0040,Technology,West,325.01,1,0.1,61.32,2023-11,Friday,292.509,0.2096345753463996
ORD-122,2024-01-28 22:28:30.855427,CUST-0224,Office Supplies,West,464.66,13,0.1,-115.51,2024-01,Sunday,418.194,-0.27621151905574926
ORD-123,2023-10-16 20:37:34.727363,CUST-0115,Office Supplies,West,170.59,4,0.0,182.58,2023-10,Monday,170.59,1.0702854798053814
ORD-124,2024-12-11 06:43:24.102051,CUST-0186,Furniture,West,159.81,11,0.0,-78.66,2024-12,Wednesday,159.81,-0.49220949877980097
ORD-125,2023-03-20 21:06:23.591795,CUST-0056,Office Supplies,East,33.43,4,0.0,-1.34,2023-03,Monday,33.43,-0.04008375710439725
ORD-126,2023-10-06 15:13:25.002501,CUST-0040,Furniture,West,18.56,13,0.1,-123.5,2023-10,Friday,16.704,-7.3934386973180075
ORD-127,2023-03-10 06:56:22.091045,CUST-0040,Furniture,East,458.61,5,0.0,13.93,2023-03,Friday,458.61,0.030374392185081003
ORD-128,2023-05-19 09:42:03.061530,CUST-0237,Furniture,North,131.83,14,0.0,2.31,2023-05,Friday,131.83,0.01752256694227414
ORD-129,2023-06-29 16:04:33.736868,CUST-0289,Technology,South,34.68,12,0.0,-0.7,2023-06,Thursday,34.68,-0.020184544405997693
ORD-130,2024-01-24 13:18:09.544772,CUST-0262,Technology,North,73.72,12,0.0,48.26,2024-01,Wednesday,73.72,0.654639175257732
ORD-131,2024-03-06 21:58:15.547773,CUST-0216,Office Supplies,West,41.04,4,0.3,15.37,2024-03,Wednesday,28.727999999999998,0.5350181008075745
ORD-132,2023-01-06 02:42:04.862431,CUST-0147,Furniture,East,153.98,9,0.0,62.31,2023-01,Friday,153.98,0.4046629432393818
ORD-133,2024-11-01 11:24:20.530265,CUST-0168,Office Supplies,East,202.25,7,0.2,-44.24,2024-11,Friday,161.8,-0.2734239802224969
ORD-134,2023-01-24 08:55:13.656828,CUST-0092,Office Supplies,North,317.32,13,0.1,34.64,2023-01,Tuesday,285.588,0.12129361177640516
ORD-135,2024-11-17 13:02:18.669334,CUST-0059,Furniture,East,122.13,2,0.0,-7.9,2024-11,Sunday,122.13,-0.06468517153852453
ORD-136,2024-11-10 23:16:46.703351,CUST-0059,Office Supplies,North,231.66,1,0.0,7.78,2024-11,Sunday,231.66,0.033583700250366916
ORD-137,2023-07-09 21:28:43.461730,CUST-0169,Technology,East,404.25,9,0.0,46.22,2023-07,Sunday,404.25,0.1143351886209029
ORD-138,2024-05-14 04:54:37.638819,CUST-0269,Office Supplies,South,82.04,1,0.0,-0.26,2024-05,Tuesday,82.04,-0.003169185763042418
ORD-139,2024-02-25 16:34:05.822911,CUST-0045,Office Supplies,West,12.84,6,0.0,23.69,2024-02,Sunday,12.84,1.8450155763239877
ORD-140,2023-08-25 06:33:18.999499,CUST-0181,Office Supplies,East,322.96,2,0.2,-39.25,2023-08,Friday,258.368,-0.15191509784493437
ORD-141,2024-06-29 22:45:04.952476,CUST-0170,Office Supplies,South,623.44125,4,0.0,95.73,2024-06,Saturday,623.44125,0.1535509560844747
ORD-142,2024-02-01 14:07:08.614307,CUST-0191,Furniture,West,198.86,6,0.0,73.71,2024-02,Thursday,198.86,0.37066277783365176
ORD-143,2024-02-29 08:12:43.581790,CUST-0155,Office Supplies,East,232.94,5,0.3,36.0,2024-02,Thursday,163.058,0.22078033583142195
ORD-144,2024-07-09 19:23:22.901450,CUST-0188,Technology,North,188.19,11,0.1,15.44,2024-07,Tuesday,169.371,0.09116082446227512
ORD-145,2023-08-05 04:30:51.325662,CUST-0007,Furniture,North,172.47,6,0.0,23.74,2023-08,Saturday,172.47,0.13764712703658608
ORD-146,2023-05-23 18:52:24.372186,CUST-0133,Furniture,North,59.69,3,0.0,94.44,2023-05,Tuesday,59.69,1.5821745686044564
ORD-147,2024-09-12 01:55:15.457728,CUST-0235,Furniture,East,370.19,5,0.0,69.46,2024-09,Thursday,370.19,0.18763337745482048
ORD-148,2023-06-02 15:30:42.321160,CUST-0045,Office Supplies,West,121.64,2,0.0,95.45,2023-06,Friday,121.64,0.7846925353502138
ORD-149,2023-04-16 04:08:31.455727,CUST-0249,Furniture,West,83.75,7,0.3,9.49,2023-04,Sunday,58.62499999999999,0.16187633262260132
ORD-150,2023-05-19 00:56:11.285642,CUST-0031,Furniture,East,286.75,3,0.3,59.0,2023-05,Friday,200.725,0.2939344874828746
ORD-151,2024-10-17 20:49:49.494747,CUST-0023,Furniture,South,204.61,1,0.0,101.32,2024-10,Thursday,204.61,0.49518596354039385
ORD-152,2024-07-06 12:30:36.918459,CUST-0160,Office Supplies,North,252.8,14,0.1,-25.57,2024-07,Saturday,227.52,-0.11238572433192685
ORD-153,2023-03-25 23:48:28.454227,CUST-0158,Technology,West,114.25,8,0.0,-29.34,2023-03,Saturday,114.25,-0.2568052516411379
ORD-154,2024-01-07 09:22:36.078039,CUST-0039,Technology,North,73.05,8,0.1,46.51,2024-01,Sunday,65.745,0.7074302228306334
ORD-155,2023-01-15 14:34:31.035517,CUST-0082,Office Supplies,East,65.33,3,0.2,-44.1,2023-01,Sunday,52.264,-0.8437930506658503
ORD-156,2024-01-19 19:21:56.458229,CUST-0258,Technology,South,244.82,13,0.3,-78.95,2024-01,Friday,171.374,-0.46068831911491825
ORD-157,2023-02-18 22:25:37.968984,CUST-0206,Technology,East,146.37,7,0.1,100.48,2023-02,Saturday,131.733,0.7627549664852391
ORD-158,2023-03-15 00:52:35.177588,CUST-0077,Furniture,East,101.35,9,0.1,110.93,2023-03,Wednesday,91.215,1.2161376966507702
ORD-159,2024-11-11 08:02:38.479239,CUST-0012,Furniture,West,225.46,8,0.0,-40.8,2024-11,Monday,225.46,-0.18096336378958572
ORD-160,2023-10-12 11:27:13.416708,CUST-0295,Office Supplies,North,59.03,3,0.0,-55.92,2023-10,Thursday,59.03,-0.9473149246146028
ORD-161,2023-12-06 06:06:39.799899,CUST-0224,Office Supplies,North,187.25,13,0.3,-9.19,2023-12,Wednesday,131.075,-0.0701125309937059
ORD-162,2024-01-21 15:11:15.337668,CUST-0013,Furniture,East,477.33,2,0.0,105.17,2024-01,Sunday,477.33,0.22032975090608176
ORD-163,2024-01-27 02:39:11.975987,CUST-0046,Office Supplies,West,623.44125,13,0.1,5.36,2024-01,Saturday,561.097125,0.00955271335599875
ORD-164,2023-07-03 07:43:11.495747,CUST-0155,Technology,West,323.09,10,0.0,35.68,2023-07,Monday,323.09,0.1104336253056424
ORD-165,2023-05-29 06:20:21.010505,CUST-0113,Office Supplies,East,443.84,7,0.1,49.5,2023-05,Monday,399.45599999999996,0.12391852919971162
ORD-166,2024-08-06 04:43:06.093046,CUST-0233,Furniture,South,220.93,7,0.1,40.43,2024-08,Tuesday,198.83700000000002,0.2033323777767719
ORD-167,2024-10-01 10:25:59.579789,CUST-0017,Technology,East,134.71,9,0.0,119.64,2024-10,Tuesday,134.71,0.8881300571598247
ORD-168,2023-10-21 14:33:47.813906,CUST-0223,Office Supplies,West,98.11,5,0.3,-13.19,2023-10,Saturday,68.67699999999999,-0.19205847663701095
ORD-169,2023-02-05 18:54:34.037018,CUST-0188,Furniture,North,201.7,4,0.2,23.87,2023-02,Sunday,161.36,0.1479300941993059
ORD-170,2023-09-07 10:04:22.931465,CUST-0163,Office Supplies,East,100.16,8,0.2,43.95,2023-09,Thursday,80.128,0.5484974041533547
ORD-171,2024-11-23 00:30:15.307653,CUST-0074,Office Supplies,North,86.22,14,0.0,27.06,2024-11,Saturday,86.22,0.313848295059151
ORD-172,2023-09-22 18:10:37.518759,CUST-0233,Technology,South,22.27,4,0.3,-43.15,2023-09,Friday,15.588999999999999,-2.767977419975624
ORD-173,2024-07-27 08:04:48.144072,CUST-0224,Furniture,East,214.98,4,0.0,-58.35,2024-07,Saturday,214.98,-0.27142059726486184
ORD-174,2023-12-17 13:48:24.852426,CUST-0060,Office Supplies,South,165.49,12,0.0,-59.61,2023-12,Sunday,165.49,-0.36020303341591636
ORD-175,2024-10-05 10:50:29.114557,CUST-0222,Office Supplies,North,220.93,14,0.0,73.58,2024-10,Saturday,220.93,0.3330466663649119
ORD-176,2023-08-12 11:48:06.843421,CUST-0037,Office Supplies,West,623.44125,12,0.1,-19.22,2023-08,Saturday,561.097125,-0.03425431916087611
ORD-177,2024-12-18 22:46:31.395697,CUST-0278,Technology,West,70.69,2,0.3,58.16,2024-12,Wednesday,49.483,1.1753531515874138
ORD-178,2024-06-26 07:06:27.193596,CUST-0196,Office Supplies,West,98.31,13,0.0,35.2,2024-06,Wednesday,98.31,0.35805106296409317
ORD-179,2023-08-23 10:44:00.120060,CUST-0242,Office Supplies,North,382.29,1,0.0,-28.49,2023-08,Wednesday,382.29,-0.07452457558398073
ORD-180,2024-10-16 09:46:22.391195,CUST-0219,Technology,South,421.89,4,0.3,-26.99,2024-10,Wednesday,295.323,-0.0913914595205927
ORD-181,2024-01-11 09:47:05.612806,CUST-0192,Technology,South,126.71,7,0.1,38.04,2024-01,Thursday,114.039,0.3335700944413753
ORD-182,2024-03-29 04:35:53.876938,CUST-0017,Furniture,Unknown,216.55,12,0.2,34.66,2024-03,Friday,173.24,0.2000692680674209
ORD-183,2023-07-03 07:43:11.495747,CUST-0012,Office Supplies,South,252.85,9,0.0,59.52,2023-07,Monday,252.85,0.23539648012655726
ORD-184,2023-10-07 17:31:00.330165,CUST-0193,Technology,North,143.7,9,0.2,2.55,2023-10,Saturday,114.96,0.022181628392484342
ORD-185,2023-05-25 23:27:35.027513,CUST-0022,Technology,West,100.2,12,0.0,-20.8,2023-05,Thursday,100.2,-0.20758483033932135
ORD-186,2023-11-14 17:00:45.022511,CUST-0120,Furniture,North,58.28,10,0.0,36.59,2023-11,Tuesday,58.28,0.627831159917639
