Order_ID,Order_Date,Customer_ID,Category,Region,Sales,Quantity,Discount,Profit
ORD-21,2024-05-01 10:09:25.482741,CUST-0108,TECH,East,225.26,5,,57.88
ORD-22,2023-10-08 19:48:35.657828,CUST-0227,Office Supplies,East,141.85,10,0.0,-51.7
ORD-23,2023-05-06 06:10:59.129564,CUST-0170,Office Supplies,West,208.37,12,0.0,101.81
ORD-24,2024-07-07 06:02:20.470235,CUST-0034,Technology,West,113.19,12,0.0,43.84
ORD-25,2024-06-08 18:25:01.950975,CUST-0251,Furniture,,295.11,4,,67.78
ORD-26,2023-10-21 23:19:39.589794,CUST-0247,Technology,South,298.45,1,0.0,16.95
ORD-27,2023-05-21 14:17:13.716858,CUST-0269,Office Supplies,North,97.32,14,0.1,-76.9
ORD-28,2024-03-19 16:43:27.703851,CUST-0141,Office Supplies,West,344.6,14,0.1,3.51
ORD-29,2023-12-15 17:59:05.972986,CUST-0274,TECH,South,342.83,3,0.0,85.79
ORD-30,2023-04-11 18:58:10.145072,CUST-0096,Office Supplies,West,137.63,13,0.0,149.62
ORD-31,2024-03-08 09:01:42.651325,CUST-0227,Furniture,North,173.16,12,0.1,46.94
ORD-32,2023-06-17 14:51:05.132566,CUST-0039,Office Supplies,,303.63,4,0.3,-11.18
ORD-33,2024-05-03 05:58:44.362181,CUST-0029,TECH,West,64.53,2,0.0,62.14
ORD-34,2023-01-08 16:03:07.293646,CUST-0245,Furniture,North,393.97,12,0.3,80.39
ORD-35,2023-04-03 00:37:27.523761,CUST-0236,Furniture,South,389.83,2,0.2,37.97
ORD-36,2023-09-30 18:59:36.588294,CUST-0185,Furniture,South,365.59,2,0.1,34.27
ORD-37,2023-11-09 14:18:40.160080,CUST-0272,Furniture,North,132.57,11,0.1,42.82
ORD-38,2024-08-01 10:46:53.006503,CUST-0236,furniture,West,369.76,1,0.0,32.61
ORD-39,2023-06-23 02:19:01.770885,CUST-0239,Technology,West,168.58,10,0.1,47.87
ORD-40,2024-01-31 03:03:41.510755,CUST-0266,Office Supplies,East,428.12,2,0.2,139.65
ORD-41,2023-07-06 05:50:05.702851,CUST-0065,Technology,North,91.96,6,0.0,-92.0
ORD-42,2024-09-14 15:16:17.888944,CUST-0177,Office Supplies,East,237.88,3,0.1,15.69
ORD-43,2024-07-01 09:48:32.056028,CUST-0003,TECH,South,60.08,10,0.0,-25.94
ORD-44,2023-09-13 06:18:11.345672,CUST-0142,TECH,East,120.06,5,0.2,100.85
ORD-45,2023-12-23 01:16:21.490745,CUST-0158,Office Supplies,East,109.55,1,0.1,21.55
ORD-46,2024-10-21 12:28:27.253626,CUST-0146,furniture,West,117.87,8,0.1,63.58
ORD-47,2023-03-11 00:28:05.642821,CUST-0293,Technology,North,96.55,13,0.0,115.64
ORD-48,2023-12-16 11:30:49.524762,CUST-0153,Office Supplies,East,136.29,4,,-34.86
ORD-49,2023-09-08 12:21:58.259129,CUST-0193,Furniture,West,93.84,9,0.0,-1.65
ORD-50,2023-12-16 11:30:49.524762,CUST-0073,Office Supplies,West,456.97,4,0.1,109.44
ORD-51,2023-07-25 05:34:58.049024,CUST-0140,Technology,East,56.44,14,0.1,-37.26
ORD-52,2024-11-24 11:33:42.411205,CUST-0187,TECH,East,186.29,2,0.2,0.37
ORD-53,2024-08-03 15:22:03.661830,CUST-0293,Technology,South,210.52,3,0.0,-66.02
ORD-54,2024-04-07 16:28:20.050025,CUST-0061,furniture,West,100.35,5,0.2,111.8
ORD-55,2023-10-31 11:12:05.762881,CUST-0198,Technology,East,190.61,12,0.0,-4.87
ORD-56,2024-07-11 23:58:33.556778,CUST-0295,furniture,South,457.22,10,0.1,51.07
ORD-57,2024-02-26 10:05:49.374687,CUST-0011,Technology,,465.45,13,0.2,70.56
ORD-58,2024-07-04 16:41:18.039019,CUST-0062,Office Supplies,North,186.92,13,0.2,-18.19
ORD-59,2024-11-03 15:59:31.185592,CUST-0226,Office Supplies,West,222.04,14,0.2,-84.24
ORD-60,2023-08-24 21:47:27.223611,CUST-0153,furniture,South,507.3,6,0.3,16.83
ORD-61,2023-01-08 07:17:15.517758,CUST-0199,Furniture,South,259.63,7,0.0,15.85
ORD-62,2023-11-03 18:04:51.745872,CUST-0052,furniture,North,393.48,4,,26.37
ORD-63,2023-03-02 14:53:14.797398,CUST-0260,Furniture,West,56.38,7,0.0,26.7
ORD-64,2024-04-18 15:24:13.326663,CUST-0059,Office Supplies,North,95.25,10,0.2,0.07
ORD-65,2023-05-22 07:48:57.268634,CUST-0072,furniture,North,63.17,3,0.1,-2.25
ORD-66,2023-08-08 02:37:45.532766,CUST-0148,Office Supplies,East,540.95,7,0.1,47.86
ORD-67,2023-04-26 00:46:49.404702,CUST-0063,Furniture,West,87.79,4,0.0,-19.43
ORD-68,2023-01-05 17:56:13.086543,CUST-0243,Office Supplies,South,211.41,13,0.1,24.28
ORD-69,2023-03-30 00:12:57.988994,CUST-0107,furniture,North,249.39,13,0.0,-3.78
ORD-70,2023-10-11 09:09:38.089044,CUST-0226,Furniture,West,160.15,8,0.0,47.74
ORD-71,2024-05-14 22:26:21.190595,CUST-0218,TECH,North,68.25,9,0.0,96.51
ORD-72,2023-07-25 23:06:41.600800,CUST-0241,Furniture,East,548.15,7,0.1,98.96
ORD-73,2023-11-24 13:39:02.971485,CUST-0259,TECH,West,265.55,8,0.0,107.36
ORD-74,2024-05-12 17:51:10.535267,CUST-0262,TECH,South,374.69,8,0.0,9.95
ORD-75,2023-02-03 05:33:31.605802,CUST-0005,Office Supplies,East,188.08,2,0.0,15.0
ORD-76,2024-05-22 14:29:28.484242,CUST-0261,Office Supplies,East,115.73,9,0.0,-46.14
ORD-77,2023-12-15 17:59:05.972986,CUST-0054,Office Supplies,South,497.39,6,0.3,9.45
ORD-78,2024-06-23 17:45:24.762381,CUST-0047,Technology,East,117.78,11,,11.59
ORD-79,2024-06-13 21:07:06.813406,CUST-0215,Furniture,East,175.97,4,0.0,-7.03
ORD-80,2023-07-05 12:18:22.151075,CUST-0177,Furniture,South,201.91,5,0.1,-7.31
ORD-81,2023-10-11 00:23:46.313156,CUST-0009,Furniture,North,113.39,10,0.2,-71.86
ORD-82,2024-12-18 22:46:31.395697,CUST-0099,Office Supplies,North,341.15,5,0.1,-50.51
ORD-83,2023-01-13 09:59:20.380190,CUST-0020,Office Supplies,South,398.23,7,0.2,32.67
ORD-84,2023-03-16 20:41:54.057028,CUST-0241,Technology,East,187.54,14,0.0,34.92
ORD-85,2024-02-08 03:52:40.580290,CUST-0061,TECH,North,92.32,9,0.1,58.98
ORD-86,2024-12-14 22:22:01.860930,CUST-0178,Office Supplies,West,48.4,7,0.0,14.47
ORD-87,2024-08-01 19:32:44.782391,CUST-0062,Office Supplies,South,168.17,9,0.0,30.7
ORD-88,2024-11-23 00:30:15.307653,CUST-0145,Office Supplies,West,406.0,4,0.1,105.03
ORD-89,2024-05-30 06:32:35.777888,CUST-0216,furniture,North,160.84,10,0.1,26.83
ORD-90,2024-01-10 07:29:30.285142,CUST-0003,TECH,West,425.95,14,0.0,-7.92
ORD-91,2024-01-08 20:26:03.181590,CUST-0160,furniture,West,651.2,10,0.1,-41.46
ORD-92,2024-05-31 00:04:19.329664,CUST-0227,TECH,North,400.57,4,0.2,77.85
ORD-93,2023-07-26 07:52:33.376688,CUST-0269,Furniture,North,143.95,6,0.3,-72.2
ORD-94,2024-02-17 06:59:14.977488,CUST-0120,furniture,North,73.0,8,0.1,-20.31
ORD-95,2024-10-17 12:03:57.718859,CUST-0089,Technology,West,216.54,14,0.1,55.11
ORD-96,2024-11-04 18:17:06.513256,CUST-0068,Furniture,West,719.18,9,0.1,-84.39
ORD-97,2024-07-01 18:34:23.831915,CUST-0098,TECH,North,154.77,1,0.0,-6.86
ORD-98,2023-09-14 08:35:46.673336,CUST-0267,Furniture,South,22.03,1,0.0,37.75
ORD-99,2023-05-27 10:31:02.131065,CUST-0105,Technology,North,131.44,13,0.0,7.0
ORD-100,2023-09-24 05:14:04.622311,CUST-0123,Furniture,South,443.29,8,0.1,-28.96
ORD-101,2024-07-30 14:57:34.127063,CUST-0029,Office Supplies,South,484.48,11,0.1,-5.61
ORD-102,2023-02-28 19:03:55.917958,CUST-0137,Technology,North,78.58,7,,79.02
ORD-103,2023-03-15 09:38:26.953476,,Office Supplies,North,77.31,9,0.2,139.88
ORD-104,2024-12-24 10:14:28.034017,CUST-0226,Office Supplies,South,334.43,11,0.0,38.37
ORD-105,2023-12-30 08:33:37.008504,CUST-0170,Office Supplies,North,67.01,3,0.0,-89.3
ORD-106,2023-04-09 05:37:07.713856,CUST-0009,furniture,South,88.42,10,0.0,64.09
ORD-107,2024-11-19 17:37:29.324662,CUST-0040,Furniture,North,550.25,12,0.2,6.22
ORD-108,2023-10-25 14:58:17.348674,CUST-0025,Office Supplies,North,250.03,5,0.2,-35.73
ORD-109,2024-04-17 13:06:37.998999,CUST-0261,TECH,East,112.24,3,,-18.02
ORD-110,2023-06-16 03:47:38.029014,CUST-0226,furniture,West,261.91,5,0.1,-15.47
ORD-111,2024-06-26 07:06:27.193596,CUST-0124,Office Supplies,South,70.42,10,0.3,-54.65
ORD-112,2024-10-01 01:40:07.803901,CUST-0038,Technology,North,340.2,1,0.1,26.22
ORD-113,2024-04-10 14:35:14.257128,CUST-0251,furniture,North,95.13,14,0.3,139.69
ORD-114,2024-01-07 00:36:44.302151,CUST-0176,furniture,South,100.87,11,0.2,-35.95
ORD-115,2024-09-21 22:33:33.406703,CUST-0090,Office Supplies,North,568.4,4,0.1,137.84
ORD-116,2023-04-18 17:29:33.886943,CUST-0037,Furniture,West,341.95,6,0.1,42.49
ORD-117,2024-09-30 08:08:24.252126,CUST-0176,Office Supplies,North,55.95,2,0.2,24.43
ORD-118,2023-09-20 13:35:26.863431,CUST-0284,Office Supplies,North,308.26,13,0.1,10.68
ORD-119,2024-10-09 02:29:06.873436,CUST-0081,Office Supplies,East,43.27,7,0.0,-18.37
ORD-120,2023-05-04 01:35:48.474237,CUST-0114,Furniture,West,405.84,8,0.0,47.51
ORD-121,2023-11-17 15:07:39.229614,CUST-0040,Technology,West,325.01,1,0.1,61.32
ORD-122,2024-01-28 22:28:30.855427,CUST-0224,Office Supplies,West,464.66,13,0.1,-115.51
ORD-123,2023-10-16 20:37:34.727363,CUST-0115,Office Supplies,West,170.59,4,0.0,182.58
ORD-124,2024-12-11 06:43:24.102051,CUST-0186,furniture,West,159.81,11,0.0,-78.66
ORD-125,2023-03-20 21:06:23.591795,CUST-0056,Office Supplies,East,33.43,4,0.0,-1.34
ORD-126,2023-10-06 15:13:25.002501,CUST-0040,Furniture,West,18.56,13,0.1,-123.5
ORD-127,2023-03-10 06:56:22.091045,CUST-0040,furniture,East,458.61,5,0.0,13.93
ORD-128,2023-05-19 09:42:03.061530,CUST-0237,Furniture,North,131.83,14,0.0,2.31
ORD-129,2023-06-29 16:04:33.736868,CUST-0289,Technology,South,34.68,12,0.0,-0.7
ORD-130,2024-01-24 13:18:09.544772,CUST-0262,Technology,North,73.72,12,0.0,48.26
ORD-131,2024-03-06 21:58:15.547773,CUST-0216,Office Supplies,West,41.04,4,0.3,15.37
ORD-132,2023-01-06 02:42:04.862431,CUST-0147,furniture,East,153.98,9,0.0,62.31
ORD-133,2024-11-01 11:24:20.530265,CUST-0168,Office Supplies,East,202.25,7,0.2,-44.24
ORD-134,2023-01-24 08:55:13.656828,CUST-0092,Office Supplies,North,317.32,13,0.1,34.64
ORD-135,2024-11-17 13:02:18.669334,CUST-0059,Furniture,East,122.13,2,,-7.9
ORD-136,2024-11-10 23:16:46.703351,CUST-0059,Office Supplies,North,231.66,1,0.0,7.78
ORD-137,2023-07-09 21:28:43.461730,CUST-0169,TECH,East,404.25,9,0.0,46.22
ORD-138,2024-05-14 04:54:37.638819,CUST-0269,Office Supplies,South,82.04,1,0.0,-0.26
ORD-139,2024-02-25 16:34:05.822911,CUST-0045,Office Supplies,West,12.84,6,0.0,23.69
ORD-140,2023-08-25 06:33:18.999499,CUST-0181,Office Supplies,East,322.96,2,0.2,-39.25
ORD-141,2024-06-29 22:45:04.952476,CUST-0170,Office Supplies,South,892.33,4,0.0,95.73
ORD-142,2024-02-01 14:07:08.614307,CUST-0191,Furniture,West,198.86,6,0.0,73.71
ORD-143,2024-02-29 08:12:43.581790,CUST-0155,Office Supplies,East,232.94,5,0.3,36.0
ORD-144,2024-07-09 19:23:22.901450,CUST-0188,Technology,North,188.19,11,0.1,15.44
ORD-145,2023-08-05 04:30:51.325662,CUST-0007,Furniture,North,172.47,6,0.0,23.74
ORD-146,2023-05-23 18:52:24.372186,CUST-0133,Furniture,North,59.69,3,0.0,94.44
ORD-147,2024-09-12 01:55:15.457728,CUST-0235,Furniture,East,370.19,5,0.0,69.46
ORD-148,2023-06-02 15:30:42.321160,CUST-0045,Office Supplies,West,121.64,2,,95.45
ORD-149,2023-04-16 04:08:31.455727,CUST-0249,furniture,West,83.75,7,0.3,9.49
ORD-150,2023-05-19 00:56:11.285642,CUST-0031,Furniture,East,286.75,3,0.3,59.0
ORD-151,2024-10-17 20:49:49.494747,CUST-0023,Furniture,South,204.61,1,,101.32
ORD-152,2024-07-06 12:30:36.918459,CUST-0160,Office Supplies,North,252.8,14,0.1,-25.57
ORD-153,2023-03-25 23:48:28.454227,CUST-0158,Technology,West,114.25,8,0.0,-29.34
ORD-154,2024-01-07 09:22:36.078039,CUST-0039,Technology,North,73.05,8,0.1,46.51
ORD-155,2023-01-15 14:34:31.035517,CUST-0082,Office Supplies,East,65.33,3,0.2,-44.1
ORD-156,2024-01-19 19:21:56.458229,CUST-0258,Technology,South,244.82,13,0.3,-78.95
ORD-157,2023-02-18 22:25:37.968984,CUST-0206,Technology,East,146.37,7,0.1,100.48
ORD-158,2023-03-15 00:52:35.177588,CUST-0077,furniture,East,101.35,9,0.1,110.93
ORD-159,2024-11-11 08:02:38.479239,CUST-0012,furniture,West,225.46,8,,-40.8
ORD-160,2023-10-12 11:27:13.416708,CUST-0295,Office Supplies,North,59.03,3,0.0,-55.92
ORD-161,2023-12-06 06:06:39.799899,CUST-0224,Office Supplies,North,187.25,13,0.3,-9.19
ORD-162,2024-01-21 15:11:15.337668,CUST-0013,Furniture,East,477.33,2,0.0,105.17
ORD-163,2024-01-27 02:39:11.975987,CUST-0046,Office Supplies,West,932.62,13,0.1,5.36
ORD-164,2023-07-03 07:43:11.495747,CUST-0155,TECH,West,323.09,10,0.0,35.68
ORD-165,2023-05-29 06:20:21.010505,CUST-0113,Office Supplies,East,443.84,7,0.1,49.5
ORD-166,2024-08-06 04:43:06.093046,CUST-0233,Furniture,South,220.93,7,0.1,40.43
ORD-167,2024-10-01 10:25:59.579789,CUST-0017,Technology,East,134.71,9,0.0,119.64
ORD-168,2023-10-21 14:33:47.813906,CUST-0223,Office Supplies,West,98.11,5,0.3,-13.19
ORD-169,2023-02-05 18:54:34.037018,CUST-0188,Furniture,North,201.7,4,0.2,23.87
ORD-170,2023-09-07 10:04:22.931465,CUST-0163,Office Supplies,East,100.16,8,0.2,43.95
ORD-171,2024-11-23 00:30:15.307653,CUST-0074,Office Supplies,North,86.22,14,0.0,27.06
ORD-172,2023-09-22 18:10:37.518759,CUST-0233,Technology,South,22.27,4,0.3,-43.15
ORD-173,2024-07-27 08:04:48.144072,CUST-0224,Furniture,East,214.98,4,0.0,-58.35
ORD-174,2023-12-17 13:48:24.852426,CUST-0060,Office Supplies,South,165.49,12,0.0,-59.61
ORD-175,2024-10-05 10:50:29.114557,CUST-0222,Office Supplies,North,220.93,14,0.0,73.58
ORD-176,2023-08-12 11:48:06.843421,CUST-0037,Office Supplies,West,714.85,12,0.1,-19.22
ORD-177,2024-12-18 22:46:31.395697,CUST-0278,Technology,West,70.69,2,0.3,58.16
ORD-178,2024-06-26 07:06:27.193596,CUST-0196,Office Supplies,West,98.31,13,0.0,35.2
ORD-179,2023-08-23 10:44:00.120060,CUST-0242,Office Supplies,North,382.29,1,0.0,-28.49
ORD-180,2024-10-16 09:46:22.391195,CUST-0219,TECH,South,421.89,4,0.3,-26.99
ORD-181,2024-01-11 09:47:05.612806,CUST-0192,Technology,South,126.71,7,0.1,38.04
ORD-182,2024-03-29 04:35:53.876938,CUST-0017,Furniture,,216.55,12,0.2,34.66
ORD-183,2023-07-03 07:43:11.495747,CUST-0012,Office Supplies,South,252.85,9,0.0,59.52
ORD-184,2023-10-07 17:31:00.330165,CUST-0193,Technology,North,143.7,9,0.2,2.55
ORD-185,2023-05-25 23:27:35.027513,CUST-0022,Technology,West,100.2,12,0.0,-20.8
ORD-186,2023-11-14 17:00:45.022511,CUST-0120,Furniture,North,58.28,10,,36.59
ORD-187,2023-10-17 22:55:10.055027,CUST-0210,TECH,East,182.67,1,0.1,115.2
ORD-188,2023-05-24 03:38:16.148074,CUST-0270,Office Supplies,North,350.51,5,0.2,-82.6
ORD-189,2023-03-17 05:27:45.832916,CUST-0192,Furniture,West,8760.75,7,0.0,-17.94
ORD-190,2024-01-15 01:25:43.371685,CUST-0175,Furniture,East,94.48,13,0.0,65.43
ORD-191,2024-11-17 21:48:10.445222,CUST-0285,Furniture,East,106.17,7,0.0,42.99
ORD-192,2024-07-29 21:25:50.575287,CUST-0204,furniture,West,348.09,10,0.0,66.3
ORD-193,2023-11-22 09:03:52.316158,CUST-0164,Furniture,North,491.73,6,0.0,4.22
ORD-194,2024-06-25 22:20:35.417708,CUST-0251,Furniture,West,164.43,11,0.2,-66.71
ORD-195,2024-09-17 22:09:03.871935,CUST-0227,furniture,North,286.25,10,0.0,130.29
ORD-196,2024-08-06 13:28:57.868934,CUST-0007,Office Supplies,West,137.3,4,0.2,95.03
ORD-197,2023-11-12 03:39:42.591295,CUST-0029,Furniture,North,531.37,3,0.0,28.55
ORD-198,2023-09-28 23:10:17.708854,CUST-0033,Furniture,East,267.26,12,0.0,-20.5
ORD-199,2024-04-06 14:10:44.722361,CUST-0134,Furniture,East,286.76,13,0.2,0.57
ORD-200,2023-07-25 14:20:49.824912,CUST-0079,Furniture,North,276.65,9,0.2,43.75
ORD-201,2024-01-08 11:40:11.405702,CUST-0058,Technology,West,207.12,12,0.1,14.9
ORD-202,2023-02-04 16:36:58.709354,CUST-0026,Furniture,East,223.52,13,0.0,29.13
ORD-203,2024-12-03 05:54:25.032516,,Furniture,West,431.05,10,0.1,126.61
ORD-204,2024-10-03 15:01:10.235117,CUST-0285,Technology,East,103.74,4,0.1,85.42
ORD-205,2023-06-26 17:57:39.529764,CUST-0004,Technology,West,217.5,8,0.0,-40.25
ORD-206,2024-06-06 05:03:59.519759,CUST-0099,Office Supplies,West,158.57,13,0.1,34.62
ORD-207,2023-03-25 23:48:28.454227,CUST-0039,Office Supplies,North,361.73,1,0.1,-1.22
ORD-208,2023-10-01 03:45:28.364182,CUST-0271,Office Supplies,South,288.26,7,0.0,47.88
ORD-209,2024-09-04 18:37:59.939969,CUST-0285,Office Supplies,West,113.81,12,,26.2
ORD-210,2024-03-12 00:40:20.410205,CUST-0157,Office Supplies,South,210.1,6,0.2,208.06
ORD-211,2023-07-17 04:45:58.979489,CUST-0075,Office Supplies,West,156.16,13,0.0,55.76
ORD-212,2024-01-22 17:28:50.665332,CUST-0288,TECH,North,195.28,12,0.1,21.95
ORD-213,2023-07-11 08:32:10.565282,CUST-0130,Furniture,North,111.47,1,0.0,140.58
ORD-214,2024-03-08 00:15:50.875437,CUST-0175,Technology,North,117.17,4,0.3,42.33
ORD-215,2024-11-10 23:16:46.703351,CUST-0084,Furniture,West,56.61,12,0.1,-61.12
ORD-216,2024-09-20 20:15:58.079039,CUST-0022,Technology,West,114.19,14,0.0,22.53
ORD-217,2024-04-07 07:42:28.274137,CUST-0027,Technology,East,418.85,5,0.0,66.82
ORD-218,2024-02-09 23:41:59.459729,CUST-0195,furniture,East,440.78,11,0.0,59.07
ORD-219,2024-10-26 06:24:40.340170,CUST-0236,Furniture,West,97.42,8,0.1,90.31
ORD-220,2023-07-30 17:02:54.687343,CUST-0092,Office Supplies,West,26.31,4,0.2,39.22
ORD-221,2023-09-06 16:32:39.379689,CUST-0021,Office Supplies,West,99.06,3,0.0,34.99
ORD-222,2023-07-23 00:59:47.393696,CUST-0084,Technology,East,142.9,2,0.0,-54.15
ORD-223,2024-08-06 04:43:06.093046,CUST-0262,Office Supplies,North,223.36,4,0.0,121.71
ORD-224,2024-12-22 14:25:09.154577,CUST-0147,Office Supplies,South,477.48,11,0.0,11.66
ORD-225,2024-01-05 13:33:17.198599,CUST-0257,Office Supplies,South,217.58,10,0.0,-28.77
ORD-226,2023-08-24 13:01:35.447723,CUST-0058,Office Supplies,West,211.99,14,0.1,187.67
ORD-227,2023-10-18 07:41:01.830915,CUST-0015,Office Supplies,North,312.8,13,0.2,130.81
ORD-228,2024-01-19 19:21:56.458229,CUST-0162,Furniture,South,107.76,4,,3.14
ORD-229,2024-08-22 23:52:47.783891,CUST-0163,TECH,West,212.41,13,,-82.84
ORD-230,2024-07-30 14:57:34.127063,CUST-0281,Technology,West,248.78,10,0.1,-13.11
ORD-231,2024-05-12 17:51:10.535267,CUST-0280,TECH,South,,5,0.2,124.75
ORD-232,2024-10-26 23:56:23.891945,CUST-0012,Furniture,West,290.71,13,,40.6
ORD-233,2024-12-24 10:14:28.034017,CUST-0274,furniture,West,446.62,7,0.0,-50.97
ORD-234,2024-05-09 10:58:24.552276,CUST-0271,furniture,East,128.27,9,0.0,77.04
ORD-235,2024-08-30 07:10:03.301650,CUST-0208,Technology,East,234.62,2,0.0,17.41
ORD-236,2024-07-12 08:44:25.332666,CUST-0027,Technology,South,9.13,5,0.1,-8.92
ORD-237,2024-05-15 15:58:04.742371,CUST-0072,Office Supplies,North,131.0,11,0.2,-4.37
ORD-238,2024-06-30 07:30:56.728364,CUST-0060,furniture,West,104.25,10,0.0,108.38
ORD-239,2024-04-02 22:32:06.963481,CUST-0145,Office Supplies,East,366.69,9,0.1,62.8
ORD-240,2023-03-11 00:28:05.642821,CUST-0093,Furniture,North,212.35,12,0.1,-59.16
ORD-241,2024-03-31 17:56:56.308154,CUST-0008,Office Supplies,North,258.46,14,0.0,52.03
ORD-242,2024-05-29 04:15:00.450225,CUST-0079,TECH,East,148.88,13,0.0,36.46
ORD-243,2024-05-26 06:08:06.243121,CUST-0027,furniture,South,287.67,3,0.0,4.78
ORD-244,2024-04-21 22:16:59.309654,CUST-0174,TECH,East,302.93,1,0.0,7.94
ORD-245,2024-12-24 10:14:28.034017,CUST-0050,Technology,West,127.94,2,0.3,-21.9
ORD-246,2023-08-19 19:05:22.361180,CUST-0199,Furniture,North,153.07,14,0.3,-9.75
ORD-247,2023-08-17 23:16:03.481740,CUST-0181,Furniture,West,168.29,6,0.3,47.38
ORD-248,2023-12-21 22:58:46.163081,CUST-0024,Furniture,South,204.59,5,0.2,13.35
ORD-249,2024-10-07 15:25:39.769884,CUST-0046,Furniture,North,68.88,1,0.2,62.74
ORD-250,2024-04-13 03:56:16.688344,CUST-0015,Office Supplies,South,79.09,1,0.2,-17.1
ORD-251,2024-05-19 16:22:34.277138,CUST-0153,Furniture,East,169.44,11,0.2,72.45
ORD-252,2023-09-16 21:56:49.104552,CUST-0222,Office Supplies,East,422.48,4,0.2,108.87
ORD-253,2024-06-24 02:31:16.538269,CUST-0206,TECH,West,327.92,12,0.1,29.59
ORD-254,2024-06-07 16:07:26.623311,CUST-0273,Office Supplies,West,85.02,4,0.0,61.24
ORD-255,2023-08-25 15:19:10.775387,CUST-0236,furniture,North,293.93,6,0.2,63.58
ORD-256,2023-04-26 18:18:32.956478,CUST-0228,Technology,South,102.18,6,0.0,-0.13
ORD-257,2024-09-12 19:26:59.009504,CUST-0009,Furniture,North,90.8,10,0.1,63.8
ORD-258,2024-03-31 17:56:56.308154,CUST-0166,Office Supplies,South,312.85,14,0.1,-106.11
ORD-259,2024-11-03 15:59:31.185592,CUST-0214,Furniture,North,97.85,6,0.0,-129.99
ORD-260,2024-04-04 00:49:42.291145,CUST-0117,Office Supplies,West,84.0,1,,10.23
ORD-261,2023-09-07 10:04:22.931465,CUST-0072,Technology,East,205.66,10,0.0,68.01
ORD-262,2023-08-31 02:47:07.413706,CUST-0064,Furniture,North,114.65,9,0.0,24.9
ORD-263,2024-12-30 15:14:08.224112,,Furniture,East,,11,0.0,74.75
ORD-264,2024-11-06 14:06:25.392696,CUST-0209,Office Supplies,East,140.88,7,0.3,-42.1
ORD-265,2024-05-25 03:50:30.915457,CUST-0072,TECH,West,77.74,7,0.1,82.97
ORD-266,2024-09-10 23:37:40.130065,CUST-0277,Technology,South,203.12,11,0.1,127.73
ORD-267,2024-08-18 14:42:26.473236,CUST-0274,Technology,East,697.45,7,0.3,-11.78
ORD-268,2024-06-29 22:45:04.952476,CUST-0095,Furniture,South,,2,0.0,76.26
ORD-269,2024-04-03 16:03:50.515257,CUST-0166,Technology,South,461.69,2,0.0,31.37
ORD-270,2024-09-18 06:54:55.647823,CUST-0032,Technology,West,196.51,6,0.0,56.51
ORD-271,2024-02-19 20:20:17.408704,CUST-0011,Technology,East,189.16,7,0.2,127.61
ORD-272,2024-11-07 16:24:00.720360,CUST-0217,TECH,East,259.41,3,0.1,49.64
ORD-273,2024-07-09 01:51:39.349674,CUST-0289,Office Supplies,North,62.51,13,0.0,75.87
ORD-274,2023-06-11 01:05:33.166583,CUST-0102,TECH,North,161.99,4,0.0,-45.78
ORD-275,2023-07-25 14:20:49.824912,CUST-0267,TECH,South,236.26,14,0.0,74.02
