Customer_ID,Recency,Frequency,Monetary,Segment,Segment_Label
CUST-0048,349,3,407.688,1,At Risk
CUST-0049,362,11,2512.269,0,Champions
CUST-0050,6,7,1930.7440000000001,3,Loyal
CUST-0051,120,6,1327.2269999999999,3,Loyal
CUST-0052,66,5,1545.867,3,Loyal
CUST-0053,387,6,697.021,1,At Risk
CUST-0054,273,5,1200.0259999999998,1,At Risk
CUST-0055,366,6,1140.536,1,At Risk
CUST-0056,35,4,327.192,2,Low Value
CUST-0057,169,5,1184.486125,2,Low Value
CUST-0058,357,4,668.3710000000001,1,At Risk
CUST-0059,43,12,2986.03525,0,Champions
CUST-0060,183,7,1529.873,3,Loyal
CUST-0061,174,7,1085.995,3,Loyal
CUST-0062,115,6,967.405,2,Low Value
CUST-0063,221,6,1065.654,1,At Risk
CUST-0064,7,5,842.204,2,Low Value
CUST-0065,229,8,1280.403,3,Loyal
CUST-0066,103,9,1962.75325,0,Champions
CUST-0067,91,6,2044.0720000000001,3,Loyal
CUST-0068,56,8,1845.700125,3,Loyal
CUST-0069,63,6,1461.053,3,Loyal
CUST-0070,75,7,1741.6812499999999,3,Loyal
CUST-0071,336,2,175.68,1,At Risk
CUST-0072,129,9,1560.333,3,Loyal
CUST-0073,67,8,2330.95025,0,Champions
CUST-0074,38,5,960.0719999999999,2,Low Value
CUST-0075,131,9,1819.857,3,Loyal
CUST-0076,11,8,1833.136125,3,Loyal
CUST-0077,274,5,576.922,1,At Risk
CUST-0078,336,3,551.95,1,At Risk
CUST-0079,34,8,2075.852125,3,Loyal
CUST-0080,128,3,390.60799999999995,2,Low Value
CUST-0081,83,3,455.558,2,Low Value
CUST-0082,2,10,1928.9460000000001,0,Champions
CUST-0083,91,4,668.36,2,Low Value
CUST-0084,3,12,2833.271,0,Champions
CUST-0085,107,3,747.222,2,Low Value
CUST-0086,276,9,2048.935,0,Champions
CUST-0087,69,7,929.308,3,Loyal
CUST-0088,61,3,750.4962499999999,2,Low Value
CUST-0089,74,5,1030.8029999999999,2,Low Value
CUST-0090,36,11,2061.593,0,Champions
CUST-0091,347,2,439.35400000000004,1,At Risk
CUST-0092,114,9,1073.4080000000001,3,Loyal
CUST-0093,164,7,956.775,3,Loyal
CUST-0094,37,1,127.08,2,Low Value
CUST-0095,184,3,454.58,2,Low Value
CUST-0096,77,5,886.518,2,Low Value
CUST-0097,175,2,243.702,2,Low Value
CUST-0098,182,7,1759.701,3,Loyal
CUST-0099,12,6,816.034,2,Low Value
CUST-0100,121,8,1907.779875,3,Loyal
CUST-0101,28,9,1563.6229999999998,3,Loyal
CUST-0102,38,12,1990.018,0,Champions
CUST-0103,123,3,1040.97725,2,Low Value
CUST-0104,82,8,1724.8290000000002,3,Loyal
CUST-0105,286,5,1044.638,1,At Risk
CUST-0106,116,6,1477.721,3,Loyal
CUST-0107,8,8,1407.37,3,Loyal
CUST-0108,53,9,2695.8962500000002,0,Champions
CUST-0109,117,8,1648.54225,3,Loyal
CUST-0110,292,4,1098.6642499999998,1,At Risk
CUST-0111,7,9,1363.352,3,Loyal
CUST-0112,424,4,941.8820000000001,1,At Risk
CUST-0113,64,9,1966.176,0,Champions
CUST-0114,145,6,2023.67925,3,Loyal
CUST-0115,195,3,577.85,2,Low Value
CUST-0116,51,7,1194.1309999999999,3,Loyal
CUST-0117,102,11,2785.421,0,Champions
CUST-0118,19,10,3513.312,0,Champions
CUST-0119,205,9,2116.51925,0,Champions
CUST-0120,2,9,2235.553,0,Champions
CUST-0121,64,7,1263.1670000000001,3,Loyal
CUST-0122,75,5,1045.29,2,Low Value
CUST-0123,464,3,847.4240000000001,1,At Risk
CUST-0124,73,9,2048.188,0,Champions
CUST-0125,118,8,1731.806,3,Loyal
CUST-0126,121,8,1215.885,3,Loyal
CUST-0127,83,7,1290.51425,3,Loyal
CUST-0128,185,5,1349.05225,3,Loyal
CUST-0129,164,7,964.155,3,Loyal
CUST-0130,164,9,1824.011,3,Loyal
CUST-0131,23,5,1587.3310000000001,3,Loyal
CUST-0132,59,6,1042.5839999999998,3,Loyal
CUST-0133,185,7,1006.4259999999999,3,Loyal
CUST-0134,24,6,1128.105,3,Loyal
CUST-0135,132,3,921.2322499999999,2,Low Value
CUST-0136,1,9,2351.495,0,Champions
CUST-0137,369,5,970.3870000000001,1,At Risk
CUST-0138,55,7,1829.6190000000001,3,Loyal
CUST-0139,53,5,1256.245,3,Loyal
CUST-0140,251,4,386.13100000000003,1,At Risk
CUST-0141,130,8,1870.157,3,Loyal
CUST-0142,124,8,2331.9610000000002,0,Champions
CUST-0143,97,11,2184.886,0,Champions
CUST-0144,101,5,1510.9470000000001,3,Loyal
CUST-0145,30,7,1660.117,3,Loyal
CUST-0146,52,9,1528.843,3,Loyal
CUST-0147,8,12,1894.352,0,Champions
CUST-0148,34,8,1742.359,3,Loyal
CUST-0149,25,11,2230.817,0,Champions
CUST-0150,97,6,1394.935,3,Loyal
CUST-0151,51,4,992.3620000000001,2,Low Value
CUST-0152,36,10,2237.621,0,Champions
CUST-0153,83,8,1637.152,3,Loyal
CUST-0154,57,12,2260.374,0,Champions
CUST-0155,132,5,1004.827,2,Low Value
CUST-0156,79,9,1471.542,3,Loyal
CUST-0157,140,7,1159.255,3,Loyal
CUST-0158,189,11,2105.657,0,Champions
CUST-0159,70,6,1655.413,3,Loyal
CUST-0160,71,12,2940.057125,0,Champions
CUST-0161,17,10,2496.143125,0,Champions
CUST-0162,218,9,1663.798,3,Loyal
CUST-0163,26,9,1559.4279999999999,3,Loyal
CUST-0164,9,11,2833.916,0,Champions
CUST-0165,172,5,911.5219999999999,2,Low Value
CUST-0166,152,6,1465.2510000000002,3,Loyal
CUST-0167,69,6,1127.917,3,Loyal
CUST-0168,59,3,735.072875,2,Low Value
CUST-0169,171,5,1611.034,3,Loyal
CUST-0170,9,6,1611.7803749999998,3,Loyal
CUST-0171,109,4,1141.756,2,Low Value
CUST-0172,88,5,986.892,2,Low Value
CUST-0173,16,10,1710.534,0,Champions
CUST-0174,244,7,1209.892,1,At Risk
CUST-0175,21,11,2133.736,0,Champions
CUST-0176,91,6,491.40299999999996,2,Low Value
CUST-0177,107,7,1425.935,3,Loyal
CUST-0178,16,9,2610.45025,0,Champions
CUST-0179,54,5,1199.298,2,Low Value
CUST-0180,153,2,94.482,2,Low Value
CUST-0181,253,7,1366.195,1,At Risk
CUST-0182,177,3,518.524,2,Low Value
CUST-0183,5,11,2924.13575,0,Champions
CUST-0184,45,6,1419.911,3,Loyal
CUST-0185,380,2,547.771,1,At Risk
CUST-0186,19,7,1272.619,3,Loyal
CUST-0187,36,2,389.112,2,Low Value
CUST-0188,174,15,3549.913,0,Champions
CUST-0189,413,3,491.616,1,At Risk
CUST-0190,349,4,865.7,1,At Risk
CUST-0191,99,8,2765.814,0,Champions
CUST-0192,1,10,2634.1282499999998,0,Champions
CUST-0193,49,4,327.382,2,Low Value
CUST-0194,136,4,557.775,2,Low Value
CUST-0195,42,4,1192.99,2,Low Value
CUST-0196,14,10,2362.496,0,Champions
CUST-0197,597,1,177.02,1,At Risk
CUST-0198,186,7,2547.838125,0,Champions
CUST-0199,160,4,942.998,2,Low Value
CUST-0200,63,3,1061.047125,2,Low Value
CUST-0201,189,7,1787.48,3,Loyal
CUST-0202,14,6,1454.15725,3,Loyal
CUST-0203,2,6,1180.215,3,Loyal
CUST-0204,22,6,1892.84,3,Loyal
CUST-0205,73,3,390.838,2,Low Value
CUST-0206,30,5,918.9540000000001,2,Low Value
CUST-0207,285,3,519.86,1,At Risk
CUST-0208,122,6,1385.48225,3,Loyal
CUST-0209,54,4,804.447,2,Low Value
CUST-0210,114,7,1656.572,3,Loyal
CUST-0211,276,5,1450.605,1,At Risk
CUST-0212,114,1,67.277,2,Low Value
CUST-0213,162,10,2452.006,0,Champions
CUST-0214,56,12,2237.044,0,Champions
CUST-0215,128,6,1170.505,3,Loyal
CUST-0216,17,10,2045.5600000000002,0,Champions
CUST-0217,53,6,1743.9062500000002,3,Loyal
CUST-0218,49,8,1562.934,3,Loyal
CUST-0219,20,5,923.077,2,Low Value
CUST-0220,15,7,1365.818,3,Loyal
CUST-0221,40,6,1129.026,3,Loyal
CUST-0222,36,6,1201.231,3,Loyal
CUST-0223,49,8,1357.621,3,Loyal
CUST-0224,17,8,1996.1352499999998,3,Loyal
CUST-0225,24,6,1273.788,3,Loyal
CUST-0226,6,9,1400.902,3,Loyal
CUST-0227,104,12,3322.8109999999997,0,Champions
CUST-0228,171,9,1826.5749999999998,3,Loyal
CUST-0229,197,5,1029.137,2,Low Value
CUST-0230,17,4,758.669,2,Low Value
CUST-0231,59,7,1535.335,3,Loyal
CUST-0232,49,8,1580.988,3,Loyal
CUST-0233,87,9,1178.987,3,Loyal
CUST-0234,208,4,547.866,2,Low Value
CUST-0235,109,5,1303.562,3,Loyal
CUST-0236,66,7,1508.892,3,Loyal
CUST-0237,40,6,1136.262,3,Loyal
CUST-0238,8,3,994.279,2,Low Value
CUST-0239,6,5,830.6980000000001,2,Low Value
CUST-0240,31,3,481.898,2,Low Value
CUST-0241,104,7,2002.0729999999999,3,Loyal
CUST-0242,52,7,1613.298,3,Loyal
CUST-0243,122,7,1405.9660000000001,3,Loyal
CUST-0244,197,2,132.78400000000002,2,Low Value
CUST-0245,5,6,1504.971875,3,Loyal
CUST-0246,304,5,1191.0520000000001,1,At Risk
CUST-0247,237,4,452.65999999999997,1,At Risk
CUST-0248,82,6,1515.272,3,Loyal
CUST-0249,240,4,544.778,1,At Risk
CUST-0250,62,6,1244.739,3,Loyal
CUST-0251,39,10,2705.86625,0,Champions
CUST-0252,169,5,1293.625,2,Low Value
CUST-0253,203,2,313.172,2,Low Value
CUST-0254,102,5,1631.11125,3,Loyal
CUST-0255,11,3,345.27000000000004,2,Low Value
CUST-0256,1,6,1066.339,3,Loyal
CUST-0257,360,4,1263.53825,1,At Risk
CUST-0258,36,8,1446.75,3,Loyal
CUST-0259,133,6,1545.09625,3,Loyal
CUST-0260,22,13,2752.08925,0,Champions
CUST-0261,99,7,807.22,3,Loyal
CUST-0262,129,10,2679.16125,0,Champions
CUST-0263,137,6,1325.995,3,Loyal
CUST-0264,169,11,1923.4089999999999,0,Champions
CUST-0265,63,5,988.736,2,Low Value
CUST-0266,65,6,1826.973,3,Loyal
CUST-0267,34,9,1129.253,3,Loyal
CUST-0268,58,8,1423.6109999999999,3,Loyal
CUST-0269,22,9,1400.533,3,Loyal
CUST-0270,29,6,1895.73525,3,Loyal
CUST-0271,34,7,1712.15625,3,Loyal
CUST-0272,173,4,704.44,2,Low Value
CUST-0273,137,7,2223.7309999999998,3,Loyal
CUST-0274,6,6,1655.521875,3,Loyal
CUST-0275,3,6,1233.394,3,Loyal
CUST-0276,33,5,1301.895,3,Loyal
CUST-0277,3,10,1697.134,0,Champions
CUST-0278,12,5,1248.00425,3,Loyal
CUST-0279,12,5,580.354,2,Low Value
CUST-0280,232,6,1058.66,1,At Risk
CUST-0281,92,8,1867.034,3,Loyal
CUST-0282,116,6,1382.967,3,Loyal
CUST-0283,34,5,1139.79,2,Low Value
CUST-0284,40,7,1842.79,3,Loyal
CUST-0285,34,7,1190.63325,3,Loyal
CUST-0286,25,5,861.54,2,Low Value
CUST-0287,25,5,1460.98025,3,Loyal
CUST-0288,53,10,1566.592,3,Loyal
CUST-0289,41,7,1081.004,3,Loyal
CUST-0290,23,8,843.629,3,Loyal
CUST-0291,213,6,1463.1599999999999,3,Loyal
CUST-0292,250,5,1099.414,1,At Risk
CUST-0293,110,11,2495.891125,0,Champions
CUST-0294,5,7,1539.253,3,Loyal
CUST-0295,29,8,1952.1280000000002,3,Loyal
CUST-0296,16,1,217.04,2,Low Value
CUST-0297,408,3,657.2950000000001,1,At Risk
CUST-0298,427,4,607.472,1,At Risk
CUST-0299,439,1,64.976,1,At Risk
CUST-0300,26,5,1484.982,3,Loyal
